Date,Source,Site ID,POC,Daily Mean PM2.5 Concentration,Units,Daily AQI Value,Local Site Name,Daily Obs Count,Percent Complete,AQS Parameter Code,AQS Parameter Description,Method Code,Method Description,CBSA Code,CBSA Name,State FIPS Code,State,County FIPS Code,County,Site Latitude,Site Longitude
8/22/2020,AQS,100031007,1,9.4,ug/m3 LC,52,Lums Pond,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",10,Delaware,3,New Castle,39.5513,-75.732
8/25/2020,AQS,100031007,1,10.5,ug/m3 LC,54,Lums Pond,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",10,Delaware,3,New Castle,39.5513,-75.732
8/28/2020,AQS,100031007,1,6.2,ug/m3 LC,34,Lums Pond,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",10,Delaware,3,New Castle,39.5513,-75.732
9/3/2020,AQS,100031007,1,5.5,ug/m3 LC,31,Lums Pond,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",10,Delaware,3,New Castle,39.5513,-75.732
9/6/2020,AQS,100031007,1,6.2,ug/m3 LC,34,Lums Pond,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",10,Delaware,3,New Castle,39.5513,-75.732
9/9/2020,AQS,100031007,1,4.2,ug/m3 LC,23,Lums Pond,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",10,Delaware,3,New Castle,39.5513,-75.732
9/12/2020,AQS,100031007,1,3.9,ug/m3 LC,22,Lums Pond,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",10,Delaware,3,New Castle,39.5513,-75.732
9/15/2020,AQS,100031007,1,2.6,ug/m3 LC,14,Lums Pond,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",10,Delaware,3,New Castle,39.5513,-75.732
9/18/2020,AQS,100031007,1,6.4,ug/m3 LC,36,Lums Pond,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",10,Delaware,3,New Castle,39.5513,-75.732
9/21/2020,AQS,100031007,1,5,ug/m3 LC,28,Lums Pond,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",10,Delaware,3,New Castle,39.5513,-75.732
