date,month,pm2.5_dailymean,aqi,units,site_name,site_id,state,method_code,method_desc,lat,long
2020-10-09,10,6.2,34,ug/m3 LC,BOSTON KENMORE SQ,250250002,Massachusetts,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,42.34887271,-71.09716279
2020-10-12,10,7.2,40,ug/m3 LC,BOSTON KENMORE SQ,250250002,Massachusetts,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,42.34887271,-71.09716279
2020-10-15,10,7,39,ug/m3 LC,BOSTON KENMORE SQ,250250002,Massachusetts,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,42.34887271,-71.09716279
2020-10-21,10,3.8,21,ug/m3 LC,BOSTON KENMORE SQ,250250002,Massachusetts,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,42.34887271,-71.09716279
2020-10-24,10,5.8,32,ug/m3 LC,BOSTON KENMORE SQ,250250002,Massachusetts,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,42.34887271,-71.09716279
2020-10-27,10,4,22,ug/m3 LC,BOSTON KENMORE SQ,250250002,Massachusetts,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,42.34887271,-71.09716279
2020-10-30,10,6.9,38,ug/m3 LC,BOSTON KENMORE SQ,250250002,Massachusetts,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,42.34887271,-71.09716279
2020-11-02,11,5,28,ug/m3 LC,BOSTON KENMORE SQ,250250002,Massachusetts,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,42.34887271,-71.09716279
2020-11-11,11,5.3,29,ug/m3 LC,BOSTON KENMORE SQ,250250002,Massachusetts,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,42.34887271,-71.09716279
2020-11-14,11,7.6,42,ug/m3 LC,BOSTON KENMORE SQ,250250002,Massachusetts,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,42.34887271,-71.09716279
2020-11-17,11,6.3,35,ug/m3 LC,BOSTON KENMORE SQ,250250002,Massachusetts,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,42.34887271,-71.09716279
2020-11-20,11,8.6,48,ug/m3 LC,BOSTON KENMORE SQ,250250002,Massachusetts,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,42.34887271,-71.09716279
2020-11-23,11,6.1,34,ug/m3 LC,BOSTON KENMORE SQ,250250002,Massachusetts,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,42.34887271,-71.09716279
2020-11-26,11,9.5,52,ug/m3 LC,BOSTON KENMORE SQ,250250002,Massachusetts,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,42.34887271,-71.09716279
2020-11-29,11,6.7,37,ug/m3 LC,BOSTON KENMORE SQ,250250002,Massachusetts,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,42.34887271,-71.09716279
2020-12-02,12,5.2,29,ug/m3 LC,BOSTON KENMORE SQ,250250002,Massachusetts,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,42.34887271,-71.09716279
2020-12-05,12,7.2,40,ug/m3 LC,BOSTON KENMORE SQ,250250002,Massachusetts,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,42.34887271,-71.09716279
2020-12-08,12,7.7,43,ug/m3 LC,BOSTON KENMORE SQ,250250002,Massachusetts,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,42.34887271,-71.09716279
2020-12-11,12,12.9,58,ug/m3 LC,BOSTON KENMORE SQ,250250002,Massachusetts,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,42.34887271,-71.09716279
2020-12-14,12,7.1,39,ug/m3 LC,BOSTON KENMORE SQ,250250002,Massachusetts,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,42.34887271,-71.09716279
2020-12-17,12,5.7,32,ug/m3 LC,BOSTON KENMORE SQ,250250002,Massachusetts,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,42.34887271,-71.09716279
2020-12-20,12,17,66,ug/m3 LC,BOSTON KENMORE SQ,250250002,Massachusetts,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,42.34887271,-71.09716279
2020-12-23,12,7.2,40,ug/m3 LC,BOSTON KENMORE SQ,250250002,Massachusetts,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,42.34887271,-71.09716279
2020-12-26,12,7.6,42,ug/m3 LC,BOSTON KENMORE SQ,250250002,Massachusetts,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,42.34887271,-71.09716279
2020-12-29,12,4.9,27,ug/m3 LC,BOSTON KENMORE SQ,250250002,Massachusetts,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,42.34887271,-71.09716279
2020-06-18,6,3.8,21,ug/m3 LC,BOSTON KENMORE SQ,250250002,Massachusetts,236,Teledyne T640 at 5.0 LPM,42.34887271,-71.09716279
2020-06-19,6,4.4,24,ug/m3 LC,BOSTON KENMORE SQ,250250002,Massachusetts,236,Teledyne T640 at 5.0 LPM,42.34887271,-71.09716279
2020-06-20,6,6.8,38,ug/m3 LC,BOSTON KENMORE SQ,250250002,Massachusetts,236,Teledyne T640 at 5.0 LPM,42.34887271,-71.09716279
2020-06-21,6,8.8,49,ug/m3 LC,BOSTON KENMORE SQ,250250002,Massachusetts,236,Teledyne T640 at 5.0 LPM,42.34887271,-71.09716279
2020-06-22,6,5.1,28,ug/m3 LC,BOSTON KENMORE SQ,250250002,Massachusetts,236,Teledyne T640 at 5.0 LPM,42.34887271,-71.09716279
2020-06-23,6,8.2,46,ug/m3 LC,BOSTON KENMORE SQ,250250002,Massachusetts,236,Teledyne T640 at 5.0 LPM,42.34887271,-71.09716279
2020-06-24,6,9.9,52,ug/m3 LC,BOSTON KENMORE SQ,250250002,Massachusetts,236,Teledyne T640 at 5.0 LPM,42.34887271,-71.09716279
2020-06-25,6,5.5,31,ug/m3 LC,BOSTON KENMORE SQ,250250002,Massachusetts,236,Teledyne T640 at 5.0 LPM,42.34887271,-71.09716279
